blockcollect,ID,condition,p,trialcollect
train,13,m1,6.919821898308614e-16,7
train,13,m1,1.226739023964886e-16,8
train,13,m1,1.3104057124902768e-17,9
train,13,m1,1.606446400383009e-19,10
train,13,m1,1.2485873388668042e-15,11
train,13,m1,7.285291336409325e-17,12
train,13,m1,1.6174131185512307e-15,13
train,13,m1,2.780593768004359e-17,14
train,13,m1,3.734325589504822e-15,15
train,13,m1,5.00976239049193e-15,16
train,13,m1,2.3216774978755163e-15,17
train,13,m1,1.8544661943895426e-15,18
train,13,m1,3.9400460166516907e-16,19
train,13,m1,3.551586447354295e-14,20
train,13,m1,1.4582483485727572e-16,21
train,13,m1,1.3185086381132258e-15,22
train,13,m1,2.644127958999974e-16,23
train,13,m1,2.878086876421525e-15,24
train,13,m1,1.5857459977247407e-16,25
train,13,m1,4.97281862498096e-14,26
train,13,m1,1.3360411613302058e-15,27
train,13,m1,2.7225599806026107e-15,28
train,13,m1,1.3112251288547282e-14,29
train,13,m1,4.405915397603065e-14,30
train,13,m1,2.971246736334105e-15,31
train,13,m1,4.953156957396114e-14,32
train,13,m1,2.5512457670754155e-16,33
train,13,m1,4.2705275147864215e-15,34
train,13,m1,3.7096578195588493e-16,35
train,13,m1,4.822559215302783e-15,36
train,13,m1,6.915632790988849e-16,37
train,13,m1,4.0191252561293245e-14,38
train,13,m1,3.405021890683248e-16,39
train,13,m1,6.327951400722509e-14,40
test,13,m1,1.9356529015631177e-25,41
test,13,m1,1.68208086330421e-21,42
test,13,m1,6.938897212629679e-17,43
test,13,m1,1.886773936821953e-15,44
test,13,m1,3.3496371943779416e-21,45
test,13,m1,1.061344670766492e-15,46
test,13,m1,2.4254256981083325e-18,47
test,13,m1,2.1266493016250977e-19,48
test,13,m1,1.8593218901690167e-16,49
test,13,m1,1.7212124732874885e-17,50
test,13,m1,1.7596829892161047e-17,51
test,13,m1,8.080581555544922e-16,52
test,13,m1,3.1608744374556487e-16,53
test,13,m1,2.1555323240847642e-14,54
test,13,m1,4.3238859317822325e-15,55
test,13,m1,8.357243162546266e-16,56
test,13,m1,2.723514671437461e-14,57
test,13,m1,2.615885921774825e-15,58
test,13,m1,2.2528842347566006e-15,59
test,13,m1,1.477014718214223e-13,60
test,13,m1,3.450378652124144e-16,61
test,13,m1,1.3653990056446846e-15,62
test,13,m1,2.16188734123747e-13,63
test,13,m1,5.801564236783158e-16,64
train,14,m1,1.735823487842486e-33,1
train,14,m1,9.333357510239693e-25,2
train,14,m1,3.239985478065123e-21,3
train,14,m1,1.487026412896911e-18,4
train,14,m1,7.564087680212239e-21,5
train,14,m1,1.9518944518466842e-17,6
train,14,m1,2.687648776527696e-16,7
train,14,m1,1.3233250787701109e-20,8
train,14,m1,3.8844319509173414e-16,9
train,14,m1,3.5189801813945146e-18,10
train,14,m1,1.1235986343918125e-17,11
train,14,m1,2.3056038300915043e-16,12
train,14,m1,1.452768574799614e-16,13
train,14,m1,2.3969342576566927e-15,14
train,14,m1,5.183263960726291e-15,15
train,14,m1,1.8844562429200283e-15,16
train,14,m1,4.164997900040772e-18,17
train,14,m1,4.18218917816785e-15,18
train,14,m1,4.115640340600921e-15,19
train,14,m1,9.35085664363058e-15,20
train,14,m1,3.6488252367760255e-16,21
train,14,m1,6.9631461512530135e-15,22
train,14,m1,4.655090848993478e-16,23
train,14,m1,7.419539573453129e-16,24
train,14,m1,4.714186021617695e-17,25
train,14,m1,8.27903700757297e-17,26
train,14,m1,6.306708492031729e-14,27
train,14,m1,3.756677518433442e-15,28
train,14,m1,7.833269216649466e-15,29
train,14,m1,2.7304738094288076e-15,30
train,14,m1,3.050061616828901e-16,31
train,14,m1,1.7816026838491858e-14,32
train,14,m1,5.060023949153461e-16,33
train,14,m1,4.513916164136135e-14,34
train,14,m1,2.6431364010560943e-16,35
train,14,m1,6.770341801293558e-14,36
train,14,m1,1.0488963145846401e-14,37
train,14,m1,3.140476634712168e-14,38
train,14,m1,3.9803814609021444e-16,39
train,14,m1,2.1038519640607586e-15,40
test,14,m1,2.4653922267203005e-21,41
test,14,m1,1.235806058008376e-20,42
